RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Forum voor Democratie;VVD;CDA;GROENLINKS;Partij van de Arbeid (P.v.d.A.);Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);ChristenUnie/SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!
's-Gravenhage;G0518;11434;Zuid-Holland;P28;352242;175004;996;539;173469;25331;27603;8308;21504;15175;19266;13689;5997;5104;10953;6214;1029;10407;;;471;;;;;;900;1518;;;;;;;;;;;;;;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;119594;65017;177;208;64632;8622;10369;5610;7699;4598;7888;4907;6067;;3110;2143;;926;;984;150;;696;;;;;;;;;535;;328;;;;;;;;
Simpelveld;G0965;10515;Limburg;P31;8275;4564;6;12;4546;605;245;1282;237;400;153;715;386;40;235;128;;7;;;;;;;113;;;;;;;;;;;;;;;;;
Sint Anthonis;G1702;11415;Noord-Brabant;P30;9280;5662;18;17;5627;672;855;1664;265;224;325;250;653;;132;256;;4;;200;12;;35;;;;;;;;;53;;27;;;;;;;;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;22572;12568;30;47;12491;1527;2152;1950;1111;841;1539;808;1161;;410;418;;7;;258;30;;107;;;;;;;;;109;;63;;;;;;;;
Sittard-Geleen;G1883;11230;Limburg;P31;74716;39002;134;203;38665;5586;3385;5998;3670;2573;2334;6286;3261;445;1598;1814;;309;;;;;;;1406;;;;;;;;;;;;;;;;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;18997;11072;29;18;11025;1625;1062;1044;366;729;344;756;511;1409;307;369;2259;99;;;32;;;;;;86;8;;;;;;;;;;;19;;;
Sluis;G1714;10895;Zeeland;P29;17344;9471;17;28;9426;1234;1347;1612;403;832;290;612;466;148;325;373;123;8;;;;;;;;;;;;1653;;;;;;;;;;;;
Smallingerland;G0090;10405;Fryslân;P21;43579;26207;76;77;26054;3082;2212;3565;1902;3480;1131;1708;1640;3112;722;686;426;48;;;;1409;;;;;;;;;;;;;;750;;181;;;;
Soest;G0342;11021;Utrecht;P26;35269;22160;36;51;22073;3131;4251;2196;2581;1664;1830;1334;669;1208;1059;929;364;468;;;;;;;;;;;;;;;;;389;;;;;;;
Someren;G0847;10203;Noord-Brabant;P30;15088;7920;15;42;7863;1167;1210;1926;372;449;401;649;469;;184;332;;19;;375;14;;52;;;;;;;;;211;;33;;;;;;;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;13064;7745;18;24;7703;933;1506;1025;675;456;859;388;488;;337;597;;6;;210;11;;122;;;;;;;;;50;;40;;;;;;;;
Stadskanaal;G0037;10610;Groningen;P20;25714;13400;36;47;13317;1744;789;1618;521;1432;361;1253;1320;2238;237;389;;8;;;;;;953;;;;;;;454;;;;;;;;;;;
Staphorst;G0180;11362;Overijssel;P23;12145;9015;21;5;8989;1205;532;972;177;268;128;391;140;1790;88;118;3177;3;;;;;;;;;;;;;;;;;;;;;;;;
Stede Broec;G0532;11337;Noord-Holland;P27;16541;9182;33;22;9127;1910;1452;1063;625;737;519;698;741;244;325;;;20;269;;260;;;;;246;;18;;;;;;;;;;;;;;
Steenbergen;G0851;10731;Noord-Brabant;P30;18460;9186;16;30;9140;1943;1447;1043;412;539;636;1069;667;;291;401;;14;;210;17;;286;;;;;;;;;49;;116;;;;;;;;
Steenwijkerland;G1708;10546;Overijssel;P23;35146;20773;43;46;20684;3220;2929;3257;1715;2004;974;1426;1097;1893;704;976;405;84;;;;;;;;;;;;;;;;;;;;;;;;
Stein;G0971;11319;Limburg;P31;20646;11339;34;32;11273;2049;912;2179;720;593;533;1976;930;86;373;568;;32;;;;;;;322;;;;;;;;;;;;;;;;;
Stichtse Vecht;G1904;10191;Utrecht;P26;49069;29811;80;77;29654;4521;5612;3358;3468;2259;2356;1947;1098;1466;1076;1452;670;177;;;;;;;;;;;;;;;;;194;;;;;;;
Súdwest-Fryslân;G1900;11421;Fryslân;P21;69885;42553;79;99;42375;5489;3917;9486;2834;4907;1752;2251;1892;2092;1056;1029;209;42;;;;4217;;;;;;;;;;;;;;507;;695;;;;
Terneuzen;G0715;10704;Zeeland;P29;39847;21174;76;84;21014;3304;1862;3618;932;2116;716;1823;1140;1159;562;1384;1171;249;;;;;;;;;;;;978;;;;;;;;;;;;
Terschelling;G0093;11210;Fryslân;P21;4083;2512;8;8;2496;378;477;288;276;449;158;90;87;59;86;62;3;0;;;;47;;;;;;;;;;;;;;19;;17;;;;
Texel;G0448;10237;Noord-Holland;P27;10899;7236;19;31;7186;1361;1185;824;866;678;446;372;423;338;318;;;4;157;;86;;;;;122;;6;;;;;;;;;;;;;;
Teylingen;G1525;10017;Zuid-Holland;P28;28039;17535;42;47;17446;3033;3975;2134;1502;1145;1792;843;540;652;615;843;66;79;;;29;;;;;;192;6;;;;;;;;;;;;;;
Tholen;G0716;10376;Zeeland;P29;19380;12190;33;27;12130;1473;923;1437;306;581;133;1222;492;930;243;341;3429;30;;;;;;;;;;;;590;;;;;;;;;;;;
Tiel;G0281;10027;Gelderland;P25;31324;15569;40;44;15485;2981;2513;1070;1243;1527;1010;1369;795;584;639;830;166;586;;;;;;;;;;;172;;;;;;;;;;;;;
Tilburg;G0855;10792;Noord-Brabant;P30;162771;76860;230;343;76287;12828;10622;5862;9564;5447;8781;4379;6803;;3679;2832;;2120;;1271;238;;762;;;;;;;;;725;;374;;;;;;;;
Tubbergen;G0183;10694;Overijssel;P23;16621;10001;28;16;9957;1581;1385;4165;373;492;302;784;334;92;125;278;43;3;;;;;;;;;;;;;;;;;;;;;;;;
Twenterand;G1700;10643;Overijssel;P23;25850;15376;30;29;15317;2041;1130;4325;595;657;355;1964;721;1776;172;481;1085;15;;;;;;;;;;;;;;;;;;;;;;;;
Tynaarlo;G1730;10002;Drenthe;P22;26271;16963;26;42;16895;1548;2763;1287;2477;2313;1689;642;806;1111;691;499;45;6;;;;;;;;;;;;;;;368;;;;577;;;73;;
Tytsjerksteradiel;G0737;11241;Fryslân;P21;24902;15863;43;35;15785;2126;1197;3202;1167;1879;517;821;621;1200;416;329;189;5;;;;1785;;;;;;;;;;;;;;200;;131;;;;
Uden;G0856;11141;Noord-Brabant;P30;32442;17358;48;66;17244;2403;3068;2552;1168;942;1577;1156;2191;;556;627;;206;;389;32;;113;;;;;;;;;177;;87;;;;;;;;
Uitgeest;G0450;11238;Noord-Holland;P27;10427;6701;15;27;6659;1163;1026;682;857;630;649;404;368;129;301;;;12;165;;130;;;;;132;;11;;;;;;;;;;;;;;
Uithoorn;G0451;11206;Noord-Holland;P27;21512;12508;28;31;12449;2478;2449;960;1333;1025;969;909;526;315;583;;;68;483;;223;;;;;107;;21;;;;;;;;;;;;;;
Urk;G0184;10783;Flevoland;P24;13647;9730;27;9;9694;1707;68;822;11;15;15;1262;31;1673;20;42;3914;10;;;;;;;;;;;;;;;;;;;;;92;;2;10
Utrecht;G0344;10722;Utrecht;P26;253377;154385;398;575;153412;10392;19273;7715;42830;12297;22421;5750;5529;6175;10529;2190;531;6545;;;;;;;;;;;;;;;;;1235;;;;;;;
Utrechtse Heuvelrug;G1581;10777;Utrecht;P26;39551;25283;53;61;25169;2945;4592;2619;3627;1538;2528;987;786;1535;1460;780;1291;158;;;;;;;;;;;;;;;;;323;;;;;;;
Vaals;G0981;10007;Limburg;P31;6072;2988;14;13;2961;389;211;593;204;330;99;451;290;34;170;120;;10;;;;;;;60;;;;;;;;;;;;;;;;;
Valkenburg aan de Geul;G0994;11077;Limburg;P31;13595;7626;28;39;7559;1122;845;1767;658;389;369;844;547;88;298;276;;8;;;;;;;348;;;;;;;;;;;;;;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;24820;12823;27;70;12726;1991;1963;1722;895;969;826;1169;1141;;431;655;;11;;378;22;;130;;;;;;;;;167;;256;;;;;;;;
Veendam;G0047;11292;Groningen;P20;21919;11380;34;28;11318;1542;863;573;658;1498;450;1011;1231;572;277;299;;154;;;;;;1730;;;;;;;460;;;;;;;;;;;
Veenendaal;G0345;11052;Utrecht;P26;49107;29653;73;70;29510;4083;3353;3079;1760;1341;1107;1609;1090;5650;555;924;3810;805;;;;;;;;;;;;;;;;;344;;;;;;;
Veere;G0717;10369;Zeeland;P29;17332;12235;24;18;12193;1048;1579;2212;741;1137;399;438;320;684;439;479;2124;3;;;;;;;;;;;;590;;;;;;;;;;;;
Veldhoven;G0861;10071;Noord-Brabant;P30;34856;18917;54;65;18798;2739;3230;2205;1395;1221;1625;1378;1724;;593;983;;33;;487;45;;287;;;;;;;;;687;;166;;;;;;;;
Velsen;G0453;10620;Noord-Holland;P27;52482;28955;89;80;28786;6091;3861;1745;3007;2728;2365;2340;1640;1112;1459;;;372;1155;;449;;;;;395;;67;;;;;;;;;;;;;;
Venlo;G0983;10477;Limburg;P31;75865;38113;121;128;37864;5279;4192;6455;3174;2701;1786;5557;3065;347;992;1449;;1124;;;;;;;1743;;;;;;;;;;;;;;;;;
Venray;G0984;11222;Limburg;P31;33251;17306;33;56;17217;2267;2147;3758;1224;1020;2158;1417;1638;168;410;542;;235;;;;;;;233;;;;;;;;;;;;;;;;;
Vijfheerenlanden;G1961;10685;Utrecht;P26;42669;25248;68;55;25125;3809;3020;3616;1547;1657;1301;1769;920;2290;639;727;3070;625;;;;;;;;;;;;;;;;;135;;;;;;;
Vlaardingen;G0622;10811;Zuid-Holland;P28;54153;27627;80;114;27433;5657;3325;1895;2175;2430;1782;2386;1764;1283;1162;1482;503;1180;;;152;;;;;;130;90;;;;;;;;;;;37;;;
Vlieland;G0096;10211;Fryslân;P21;882;455;0;0;455;58;118;26;46;61;34;17;18;8;22;17;0;0;;;;13;;;;;;;;;;;;;;6;;11;;;;
Vlissingen;G0718;10270;Zeeland;P29;33724;17040;50;58;16932;2430;1764;1794;1228;1697;892;1195;1098;622;838;1652;511;173;;;;;;;;;;;;1038;;;;;;;;;;;;
Voerendaal;G0986;11341;Limburg;P31;10110;5959;11;22;5926;721;653;1051;455;403;418;600;456;73;353;184;;7;;;;;;;552;;;;;;;;;;;;;;;;;
Voorschoten;G0626;10537;Zuid-Holland;P28;18882;12750;29;40;12681;1804;2762;1257;1642;1105;1523;544;366;420;541;483;51;55;;;33;;;;;;88;7;;;;;;;;;;;;;;
Voorst;G0285;10912;Gelderland;P25;19367;11635;23;36;11576;1453;1997;1877;1105;1063;839;580;605;478;411;589;308;44;;;;;;;;;;;213;;;;;;;;;;14;;;
Vught;G0865;11224;Noord-Brabant;P30;20291;11990;21;31;11938;1274;2731;1067;1304;948;1658;492;1249;;500;261;;6;;164;13;;139;;;;;;;;;86;;46;;;;;;;;
Waadhoeke;G1949;10404;Fryslân;P21;35651;20991;46;38;20907;2779;1832;4144;1331;2697;666;1118;1066;1017;622;520;94;20;;;;2329;;;;;;;;;;;;;;494;;178;;;;
Waalre;G0866;10959;Noord-Brabant;P30;13118;8129;20;18;8091;977;1800;970;774;474;935;381;532;;375;329;;16;;143;26;;122;;;;;;;;;91;;146;;;;;;;;
Waalwijk;G0867;11359;Noord-Brabant;P30;36783;18187;30;51;18106;3004;2830;1918;1238;953;1242;1549;1448;;580;750;;206;;513;33;;1585;;;;;;;;;168;;89;;;;;;;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;21414;13269;24;25;13220;2162;1974;1125;842;784;856;728;387;1645;390;614;1382;168;;;40;;;;;;91;32;;;;;;;;;;;;;;
Wageningen;G0289;11010;Gelderland;P25;28132;18722;31;52;18639;1234;1812;1093;4744;2104;2765;522;1002;1143;1305;389;194;68;;;;;;;;;;;253;;;;;;;;;;11;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;17832;11508;50;28;11430;2248;3600;1386;670;490;889;598;222;243;442;373;38;22;;;21;;;;;;177;11;;;;;;;;;;;;;;
Waterland;G0852;10983;Noord-Holland;P27;13555;9389;18;22;9349;1875;1206;1193;1320;900;710;501;390;269;494;;;5;213;;117;;;;;150;;6;;;;;;;;;;;;;;
Weert;G0988;11081;Limburg;P31;39036;20412;55;86;20271;3364;2870;3674;1579;1089;1286;2000;1465;176;580;604;;340;;;;;;;1244;;;;;;;;;;;;;;;;;
Weesp;G0457;10773;Noord-Holland;P27;14479;8622;29;27;8566;1129;1244;731;1347;848;910;464;504;242;448;;;159;328;;115;;;;;73;;24;;;;;;;;;;;;;;
West Betuwe;G1960;10881;Gelderland;P25;38850;24209;65;53;24091;4668;3514;2485;1406;1518;1237;1740;801;1626;726;884;2888;68;;;;;;;;;;;530;;;;;;;;;;;;;
West Maas en Waal;G0668;10042;Gelderland;P25;15291;8533;19;39;8475;1588;1614;1217;498;477;450;763;912;109;270;460;20;3;;;;;;;;;;;94;;;;;;;;;;;;;
Westerkwartier;G1969;10604;Groningen;P20;48848;29280;61;74;29145;3185;2476;3983;2788;2851;1324;1384;1478;4772;694;642;;24;;;;;;2682;;;;;;;862;;;;;;;;;;;
Westerveld;G1701;10186;Drenthe;P22;15994;10227;13;29;10185;1149;1846;942;1157;1219;569;498;478;439;608;382;74;5;;;;;;;;;;;;;;;566;;;;201;;;52;;
Westervoort;G0293;11085;Gelderland;P25;11894;6537;19;29;6489;1095;890;713;670;688;379;490;560;220;321;318;17;49;;;;;;;;;;;71;;;;;;;;;;8;;;
Westerwolde ;G1950;11249;Groningen;P20;20001;11181;17;36;11128;1707;975;1195;687;1288;361;1276;1064;575;521;325;;11;;;;;;725;;;;;;;418;;;;;;;;;;;
Westland;G1783;11418;Zuid-Holland;P28;81091;49007;112;140;48755;11804;10135;8325;1981;2263;2591;3444;1103;2276;1266;1940;784;275;;;113;;;;;;331;82;;;;;;;;;;;42;;;
Weststellingwerf;G0098;11322;Fryslân;P21;20734;11694;28;39;11627;1791;1568;1784;820;1525;474;857;750;397;455;443;53;27;;;;281;;;;;;;;;;;;;;282;;120;;;;
Westvoorne;G0614;10009;Zuid-Holland;P28;11951;7301;20;21;7260;1747;1802;570;295;555;497;508;240;216;345;342;42;6;;;24;;;;;;65;3;;;;;;;;;;;3;;;
Wierden;G0189;10676;Overijssel;P23;18874;12208;21;18;12169;1760;1817;3184;521;560;460;781;370;1462;160;487;599;8;;;;;;;;;;;;;;;;;;;;;;;;
Wijchen;G0296;10723;Gelderland;P25;32287;18121;47;80;17994;2752;2828;2908;1505;1491;1352;1322;1472;305;628;1095;45;100;;;;;;;;;;;191;;;;;;;;;;;;;
Wijdemeren;G1696;10534;Noord-Holland;P27;18893;11936;26;27;11883;2067;2474;1478;1172;794;1048;668;409;605;526;;;10;376;;170;;;;;75;;11;;;;;;;;;;;;;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;18601;11213;22;28;11163;1576;1959;1371;1460;701;639;739;702;545;424;383;420;38;;;;;;;;;;;;;;;;;206;;;;;;;
Winterswijk;G0294;11119;Gelderland;P25;22601;12511;30;45;12436;1611;2365;2079;1143;1427;958;592;908;292;324;480;50;73;;;;;;;;;;;122;;;;;;;;;;12;;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;16159;7953;17;24;7912;1541;1307;1010;366;441;574;902;539;;314;404;;12;;289;18;;88;;;;;;;;;67;;40;;;;;;;;
Woerden;G0632;10974;Utrecht;P26;39438;24779;43;72;24664;3048;3897;4111;2692;1754;1789;1087;865;2014;936;643;994;277;;;;;;;;;;;;;;;;;557;;;;;;;
Wormerland;G0880;10648;Noord-Holland;P27;12980;7809;21;23;7765;1287;1134;591;1050;854;550;484;517;261;434;;;52;267;;131;;;;;149;;4;;;;;;;;;;;;;;
Woudenberg;G0351;11398;Utrecht;P26;9786;6640;9;14;6617;743;864;871;397;308;243;262;161;814;161;196;1539;11;;;;;;;;;;;;;;;;;47;;;;;;;
Zaanstad;G0479;11044;Noord-Holland;P27;114663;59786;210;161;59415;10610;6559;2939;7335;6230;4114;4873;4526;1949;3375;;;2397;2135;;982;;;;;1181;;210;;;;;;;;;;;;;;
Zaltbommel;G0297;10557;Gelderland;P25;20778;12903;33;28;12842;1567;1701;1477;900;779;683;740;561;1112;410;424;2300;74;;;;;;;;;;;114;;;;;;;;;;;;;
Zandvoort;G0473;10910;Noord-Holland;P27;13366;7589;35;33;7521;1811;1424;562;556;586;496;768;261;104;378;;;28;195;;75;;;;;273;;4;;;;;;;;;;;;;;
Zeewolde;G0050;10012;Flevoland;P24;16020;9786;24;25;9737;1812;1750;1154;856;505;496;532;347;1183;331;424;203;27;;;;;;;;;;;;;;;;;;;;;23;;52;42
Zeist;G0355;10324;Utrecht;P26;47989;29530;77;84;29369;3175;5645;2409;4958;2096;2882;1365;1007;1754;1597;768;578;587;;;;;;;;;;;;;;;;;548;;;;;;;
Zevenaar;G0299;10938;Gelderland;P25;34858;18273;46;58;18169;2942;2765;2669;1466;1779;1167;1487;1356;311;625;989;46;126;;;;;;;;;;;418;;;;;;;;;;23;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;95429;50381;170;125;50086;10096;8012;2999;4239;4448;4041;4328;2421;2136;2186;3204;703;548;;;204;;;;;;414;107;;;;;;;;;;;;;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6678;4199;20;14;4165;665;773;576;377;352;412;229;182;137;159;198;32;14;;;6;;;;;;51;2;;;;;;;;;;;;;;
Zuidplas;G1892;10855;Zuid-Holland;P28;32406;19506;51;38;19417;3366;3493;1620;1113;1149;1320;1037;792;1938;630;860;1655;165;;;48;;;;;;203;28;;;;;;;;;;;;;;
Zundert;G0879;11192;Noord-Brabant;P30;16895;8514;25;25;8464;1361;1582;1647;428;363;568;753;620;;262;345;;17;;333;19;;71;;;;;;;;;53;;42;;;;;;;;
Zutphen;G0301;10254;Gelderland;P25;37128;21982;41;60;21881;2238;2491;1430;3685;2812;1768;1171;2029;994;1792;760;111;291;;;;;;;;;;;240;;;;;;;;;;69;;;
Zwartewaterland;G1896;10746;Overijssel;P23;16523;11198;20;17;11161;1224;771;1593;363;560;193;667;409;2236;181;260;2700;4;;;;;;;;;;;;;;;;;;;;;;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;34512;17715;38;51;17626;3372;2340;1639;1000;1225;874;1408;863;1550;591;1004;1022;356;;;50;;;;;;276;35;;;;;;;;;;;21;;;
Zwolle;G0193;10093;Overijssel;P23;97550;59833;125;166;59542;5446;7677;5118;9889;6007;5031;2780;3738;7859;2894;1572;809;722;;;;;;;;;;;;;;;;;;;;;;;;
