RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Forum voor Democratie;VVD;CDA;GROENLINKS;Partij van de Arbeid (P.v.d.A.);Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);ChristenUnie/SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!
Beverwijk;G0375;10272;Noord-Holland;P27;30299;15471;45;47;15379;3113;1771;1047;1917;1461;1078;1279;945;351;712;;;383;513;;454;;;;;297;;58;;;;;;;;;;;;;;
Bladel;G1728;11006;Noord-Brabant;P30;15784;8356;21;18;8317;1068;1266;1994;489;502;467;609;749;;228;447;;5;;202;32;;55;;;;;;;;;141;;63;;;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;8374;5415;18;3;5394;932;1610;461;370;363;517;249;170;194;210;;;27;140;;45;;;;;98;;8;;;;;;;;;;;;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;17507;12152;39;28;12085;1333;3400;1116;1557;894;1691;296;256;392;677;;;9;243;;127;;;;;87;;7;;;;;;;;;;;;;;
Bodegraven-Reeuwijk;G1901;11091;Zuid-Holland;P28;26233;16338;38;52;16248;2433;3052;2519;1079;753;1037;746;389;1483;435;498;1558;116;;;23;;;;;;103;24;;;;;;;;;;;;;;
Boekel;G0755;10432;Noord-Brabant;P30;8129;4449;10;20;4419;609;615;1143;172;166;223;303;418;;138;129;;3;;420;9;;16;;;;;;;;;38;;17;;;;;;;;
Borger-Odoorn;G1681;10448;Drenthe;P22;20712;12107;17;27;12063;1692;1551;1103;790;1833;538;1006;724;608;486;427;96;9;;;;;;;;;;;;;;;941;;;;165;;;94;;
Borne;G0147;10326;Overijssel;P23;17961;11007;34;30;10943;1589;1896;2097;1022;1014;673;764;788;299;270;435;43;53;;;;;;;;;;;;;;;;;;;;;;;;
Borsele;G0654;10043;Zeeland;P29;17446;11173;11;16;11146;1160;904;2459;466;711;377;530;395;434;311;482;2206;3;;;;;;;;;;;;708;;;;;;;;;;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;23097;13651;29;53;13569;1822;2004;2566;859;842;871;849;2334;;343;476;;56;;286;25;;88;;;;;;;;;98;;50;;;;;;;;
Boxtel;G0757;10083;Noord-Brabant;P30;23512;12347;38;38;12271;1600;1826;1893;1129;859;1242;824;1386;;447;445;;114;;221;31;;108;;;;;;;;;87;;59;;;;;;;;
Breda;G0758;10154;Noord-Brabant;P30;140136;74317;201;214;73902;8753;15365;6173;8412;5261;9240;4267;5992;;3499;2740;;912;;1370;176;;899;;;;;;;;;519;;324;;;;;;;;
Brielle;G0501;10232;Zuid-Holland;P28;13643;7777;16;21;7740;1925;1513;581;425;649;495;639;349;204;291;434;39;12;;;16;;;;;;156;6;;;;;;;;;;;6;;;
Bronckhorst;G1876;11159;Gelderland;P25;29457;18119;43;49;18027;2406;3439;3590;1524;1609;1049;839;1012;646;630;704;197;23;;;;;;;;;;;339;;;;;;;;;;20;;;
Brummen;G0213;10798;Gelderland;P25;16794;9599;28;46;9525;1380;1502;958;1208;1084;593;628;619;332;411;452;64;132;;;;;;;;;;;154;;;;;;;;;;8;;;
Brunssum;G0899;10533;Limburg;P31;22770;11594;29;37;11528;1833;1299;1035;524;1428;301;2054;1137;238;437;420;;54;;;;;;;768;;;;;;;;;;;;;;;;;
Bunnik;G0312;10820;Utrecht;P26;11537;8256;17;24;8215;763;1307;1095;1757;619;818;316;241;419;381;242;152;21;;;;;;;;;;;;;;;;;84;;;;;;;
Bunschoten;G0313;11343;Utrecht;P26;15742;10237;31;18;10188;2120;886;1832;183;174;108;560;112;2888;74;200;989;35;;;;;;;;;;;;;;;;;27;;;;;;;
Buren;G0214;11286;Gelderland;P25;20849;12545;22;32;12491;2536;2255;1140;724;848;695;1121;471;634;583;502;800;30;;;;;;;;;;;152;;;;;;;;;;;;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;50730;25672;71;95;25506;4958;3661;1357;1850;2096;1763;1994;1235;1541;1089;1496;1812;270;;;70;;;;;;257;57;;;;;;;;;;;;;;
Castricum;G0383;11287;Noord-Holland;P27;28469;18879;56;48;18775;2756;3074;1933;2959;1679;2007;801;945;458;1011;;;32;481;;277;;;;;328;;34;;;;;;;;;;;;;;
